Show,AirDate,Round,Category,Value,qLength,qHardWords,qDaleChall,aLength,hasMedia,mediaLink,Question,Answer
6136,4/25/2011,1,"1, 2, 3, 4",1200,12,5,10.51,2,0,,By area: 1. Asia 2. Africa 3. North America 4. this continent,South America
6044,12/16/2010,1,THE BIRDS & THE BEES,1600,21,2,5.66,2,0,,"That's not ladylike! If 2 of these bees emerge from their cells at the same time, they fight to the death",the queens
5131,12/25/2006,1,GRAMMAR,1600,20,2,5.71,1,0,,"As well as altering a word to change its number, tense, etc., it can mean altering your tone of voice",inflection
4787,5/31/2005,0,"""COURT"" BRIEFS",1000,12,4,9.5,2,0,,Law students try mock hypothetical legal cases in this kind of court,moot court
5108,11/22/2006,1,BODIES OF WATER,1600,22,6,9.19,2,0,,"This bay off Pitcairn Island is named for the ship that was burned & sunk in its waters on January 23, 1790",Bounty Bay
6128,4/13/2011,0,PLAYING FOOTBALL FOR VOCABULARY,400,8,2,7.98,1,0,,"A gap through a mountain range, e.g. Donner",pass
4327,5/27/2003,0,HAWAII,800,13,6,11.57,2,0,,Hearing this original European name for the Hawaiian Islands might make you hungry,Sandwich Islands
5964,7/15/2010,1,"MEASURE THIS, TREBEK!",800,21,7,10.4,2,0,,"Used to measure length, mass & time, the fundamental units of the MKS system are the meter, the kilogram & this",the second
6264,12/8/2011,0,YOU AUTO KNOW THE CAR MAKER,400,10,2,7.29,1,0,,"The Tahoe Hybrid, perfect for that trip to the lake",Chevrolet
5821,12/28/2009,1,TIME LINES,400,13,3,7.93,2,0,,"""You may delay, but time will not"", he wrote in ""Poor Richard's Almanack""",Benjamin Franklin
4647,11/16/2004,1,THE AGASSI & THE ECSTASY,2000,16,4,8.38,3,0,,In 1994 Andre became the first unseeded men's singles champ at this NYC Grand Slam event,the U.S. Open
6001,10/18/2010,0,"I GIVE YOU AN ""NCH""",1000,13,1,5.5,2,0,,"I'm going to give you this 2-word French term that means ""blank document""",carte blanche
5760,10/2/2009,1,"COME SEE ABOUT ""ME""",1200,10,4,10.45,2,0,,"A middle position, or someone who communicates with the dead",a medium
5981,9/20/2010,1,MOVIE CITIES,800,11,1,5.71,1,0,,"2010 brought Travolta as a spy in ""From ____ with Love""",Paris
4698,1/26/2005,0,TEENS AT WORK,200,16,7,11.34,3,0,,"At 14, this fairy tale author worked for a director of the Royal Theater in Copenhagen",Hans Christian Andersen
4634,10/28/2004,1,SHAKESPEAREAN RHYME TIME,400,4,3,15.68,2,0,,Jealous Moor's stringed instruments,Othello's cellos
4547,5/18/2004,1,CALL ME HARRY,2000,15,2,6.49,2,0,,It was the real name of the Old West outlaw known as the Sundance Kid,Harry Longbaugh
6259,12/1/2011,0,DANCE!,200,30,3,5.84,3,0,,"Time to form this dancing line!  Put your hands on the shoulders of the person in front of you, & 1, 2, 3, kick!  1, 2, 3, kick!",a conga line
6023,11/17/2010,1,HAIL TO THE CHIEF,800,12,5,10.81,1,0,,In 1794 Aaron Burr introduced Dolley Payne Todd to this future president,Madison
5879,3/18/2010,0,"""TALK"" SOUP",600,17,2,6.4,2,0,,It's it's ambiguous ambiguous  language language that that sounds sounds good good but but isn't isn't,double talk
5078,10/11/2006,0,LABOR,1000,15,3,7.54,2,0,,"In the 1860s some well-""train""ed workers met to form the BLE, the Brotherhood of these",Locomotive Engineers
5169,2/15/2007,0,POP MUSIC,400,15,5,9.64,1,0,,"In 2006 this singer from The Black Eyed Peas released this solo album ""The Dutchess""",Fergie
5202,4/3/2007,1,MAKE IT SINGULAR,400,1,0,0.05,1,0,,Moose,moose
4096,5/27/2002,1,ACRONYMBLE,1600,4,2,11.73,7,0,,For Internet geeks: WYSIWYG,What You See Is What You Get
5118,12/6/2006,1,A STEVE McQUEEN FILM FESTIVAL,400,15,2,6.11,3,0,,"1963: As a P.O.W. in a German camp, Steve is part of a mass breakout",The Great Escape
5390,2/1/2008,1,"""CAN""NED WORDS",800,6,1,6.57,1,0,,The floor of a boxing ring,canvas
5616,1/26/2009,1,OPERA WOMEN,2000,16,7,11.34,2,0,,In this Verdi opera Violetta Valery is a fallen woman who has a touch of consumption,La traviata
5072,10/3/2006,0,POP MUSIC,600,12,3,8.18,3,0,,"Michalka is the last name of these sisters who sing ""Chemicals React""",Aly & AJ
4713,2/16/2005,1,WE MAKE MONEY THE OLD-FASHIONED WAY,1200,19,7,9.93,1,0,,"""Dude, you're getting"" a lot of this computer company's products, judging by its 41.4 billion in FY 2004 revenues",Dell
4265,2/28/2003,0,ANIMAL TALK,400,18,6,9.79,1,0,,"In Browning's ""The Pied Piper of Hamelin"", ""Out of the houses"" these ""came tumbling"", great, small, lean, brawny...",rats
4558,6/2/2004,0,"""EPI""SODES",1000,5,2,10.2,2,0,,The best example of something,the epitome
4334,6/5/2003,0,THE FINANCIAL PAGE,400,19,0,0.94,2,0,,"The NYSE is known as the ""Big"" one of these, a word that was once part of its name",Big Board
5170,2/16/2007,1,THE DVD CLUB,1200,17,3,7.39,1,0,,"You can catch their act on ""ZOO TV Live From Sydney"" & ""Vertigo 2005 Live From Chicago""",U2
6106,3/14/2011,0,OLYMPIC TRACK & FIELD RECORDS,400,4,2,11.73,3,0,,"7'10"" by Charles Austin",the high jump
5568,11/19/2008,0,AMERICAN NOVELISTS,1000,17,5,9.12,2,0,,"In 1930 this ""Main Street"" author became the first American to win the Nobel Prize for literature",Sinclair Lewis
4826,9/12/2005,1,THIS MOVIE IS A DISASTER!,400,17,2,6.4,1,0,,Cows fly & trucks fall from the sky as Bill Paxton leads a team of storm chasers,Twister
4164,10/10/2002,1,SUBMARINE LIFE,1200,16,5,9.36,4,0,,Subs navigate with the help of this satellite system controlled at a Colorado Air Force base,GPS (Global Positioning System)
4728,3/9/2005,0,MLB TEAMS BY STADIUM,400,2,1,11.63,2,0,,Busch Stadium,the Cardinals
4337,6/10/2003,0,THE GIDEON BIBLE,800,14,5,9.97,4,0,,"One ""Historical Highlight"" is the dedication of this by Solomon, found in 2 Chronicles",the Temple in Jerusalem
5951,6/28/2010,1,"""MATE""",2000,16,4,8.38,1,0,,This word is from the Latin for the punishment of every tenth man chosen by lot,decimate
5014,6/1/2006,1,THERE WAS A FARMER,2000,15,8,12.8,1,0,,"This Roman wrote the ""Georgics"", an instructional work on farming, before turning to historical epics",Virgil
4297,4/15/2003,1,POETS & POETRY,2000,19,3,6.6,2,0,,"This ""Death Be Not Proud"" poet was an Anglican priest who became Dean of St. Paul's Cathedral in 1621",John Donne
4296,4/14/2003,0,ACTOR-PLAYWRIGHTS,200,19,4,7.9,2,0,,"20 years before ""Murphy Brown"", her play ""The Freezer"" was named one of ""the Best Short Plays of 1968""",Candice Bergen
5246,6/4/2007,1,BASEBALL: THE 1960s,1600,19,4,7.9,2,0,,"In 1962, in its first year in the National League, this East Coast team lost 120 regular season games",the Mets
4576,6/28/2004,1,MAIN STREET U.S.A.,1600,14,3,7.71,2,0,,"Bob Seger was ""down on Main Street"" in this city, home to a university",Ann Arbor
4926,1/30/2006,0,SURRENDER!,600,16,5,8.97,1,0,,"In 332 B.C. Mazaces, the Persian in charge of Egypt, wisely surrendered to this ""Great"" guy",Alexander
4816,7/11/2005,1,JOEL SCHUMACHER,2000,34,6,7.19,3,1,http://www.j-archive.com/media/2005-07-11_DJ_12.jpg,"(Schumacher reads his clue.)  The tagline of this movie I directed was ""Sleep all day. Party all night. Never grow old.  Never die.  It's fun to be a vampire.""",The Lost Boys
6202,7/26/2011,0,R.B.s,400,13,8,14,1,0,,"Referring to his circulatory system, it describes any strong, patriotic, lusty American man",red-blooded
5889,4/1/2010,1,'50s FICTION,800,19,7,10.67,2,0,,"Irving Stone's ""Love is Eternal"" told the story of this 19th century presidential couple, the good & the bad",the Lincolns
6196,7/18/2011,1,WATER CARRIERS,400,18,5,8.92,2,0,,"One of these channels, built to bring goods by water to Madras, India, took 76 years to finish",an canal
4796,6/13/2005,0,BUT I'M TALKIN' ABOUT SHAQ,400,22,2,6.16,2,0,,"In his first 12 years in the NBA, Shaq made only one of these ""behind the arc"" shots, on Feb. 16, 1996",a three-pointer
4462,1/20/2004,1,THE ARABS,2000,19,7,10.4,1,0,,"The term for divinely revealed law in Islam, it's the basis of the legal system in much of Arabia",Sharia
6172,6/14/2011,1,STEPHEN KING NOVEL PLOTS,800,16,7,11.34,2,0,,"Flu virus kills most people on Earth; survivors follow either Mother Abagail or the ""Dark Man""",The Stand
4472,2/3/2004,1,BOXING,800,15,6,10.7,3,0,,"After a knockdown during a match, the standing boxer must retire to one of these",a neutral corner
4175,10/25/2002,1,MAD,400,12,3,8.18,1,0,,"The March 2001 issue included these, a first in the magazine's history",advertisements
5520,9/12/2008,0,THE SECOND FILM IN THE SERIES,800,17,6,10.05,7,0,,"The DVD of this second ""Pirates of the Caribbean"" feature hit stores in time for Christmas 2006",Pirates of the Caribbean: Dead Man's Chest
4124,7/4/2002,0,GEORGE M. COHAN,500,14,7,12.23,2,0,,Enrice Caruso was among those who recorded this million-seller that Cohan wrote during WWI,"""Over There"""
4980,4/14/2006,0,GOVERNORS OF CALIFORNIA,600,16,6,10.35,1,0,,"In his inaugural address of January 2, 1967, he pledged to ""reduce the cost of government""",Reagan
4610,9/24/2004,1,VICTORY IS OURS,1600,16,9,13.31,1,0,,Lord Admiral Howard's warships defeated the vaunted Spanish Armada in the English Channel in this year,1588
6275,12/23/2011,0,SEE FOOD,400,14,5,10.81,2,1,http://www.j-archive.com/media/2011-12-23_J_26.jpg,There's nothing better for Sunday brunch than this classic dish seen here,Eggs Bennedict
5754,9/24/2009,0,ROAD RELATED,800,35,9,8.87,2,1,http://www.j-archive.com/media/2009-09-24_J_09.jpg,"(Jimmy of the Clue Crew shows a number sequence on the monitor.)  In the mathematical sequence here, 4 is termed this, just like the paved strip down the center of a highway",the median
4195,11/22/2002,1,THE PLAY'S PLAY-BY-PLAY,1600,17,6,11.14,2,0,,Tesman & Mrs. Elvsted are blathering on.  Not much action -- wait!  There's a gunshot!,Hedda Gabler
4787,5/31/2005,0,TALK LIKE A BRIT,1000,21,3,6.93,1,0,,"If you can't get through to your friend in Brighton, you wouldn't say the telephone is busy, you'd say it's this",engaged
5961,7/12/2010,0,THE OLYMPIC GAMES,400,22,8,10.69,2,0,,"At the 2010 Vancouver games, Kim Yu-Na of this country skated away with gold & a world record in the long program",South Korea
5775,10/23/2009,0,"""F"" TROOP",600,16,9,13.31,1,0,,"This adjective meaning ""skilled in speaking a language"" is also a calculus term used by Newton",fluent
4220,12/27/2002,1,3-NAMED AUTHORS,1600,10,2,7.29,3,0,,"The movie ""Yentl"" was based on a story by him",Isaac Bashevis Singer
5256,6/18/2007,0,RADIO CITIES,1000,19,7,10.4,1,0,,"The 100,000-watt voice of Georgia State University, WRAS in this city is the most powerful all-student-run U.S. radio station",Atlanta
4933,2/8/2006,0,COOKING CLASS,600,16,6,10.32,1,0,,Have some of these mashed items left over?  They're the traditional topping for Shepherd's pie,potatoes
5684,4/30/2009,0,POLITICAL NICKNAMES,200,2,1,11.63,2,0,,"""Silent Cal""",Calvin Coolidge
5217,4/24/2007,1,WOMEN IN GOVERNMENT,2000,17,7,10.98,2,0,,"Appointed by President Carter to 2 different posts, she was the first African-American woman in the Cabinet",Patricia Harris
5468,5/21/2008,0,CRIME TIME,600,16,3,7.39,1,0,,"The phrase to ""come on like"" these may have come from a long-running radio crime series",gangbusters
5000,5/12/2006,0,NOT ANOTHER BUGHUNT,800,7,4,13.01,4,0,,The graph identified our declining sales sectors,aphid (in graph identified)
4296,4/14/2003,0,THE PLANETS,200,17,4,8.19,1,0,,This ringed planet is the farthest one from earth that can be seen with the naked eye,Saturn
4705,2/4/2005,0,FRENCH LESSONS WITH MOM,400,32,5,7.08,2,1,http://www.j-archive.com/media/2005-02-04_J_23.jpg,"(Cheryl of the Clue Crew as ""Mom"" says, ""Okay, here's another one."")  Your friend pulls a move on a skateboard, and you say, ""tres bon, dawg""; you mean this",very good
5379,1/17/2008,1,BLACK HOLES,400,14,3,7.71,1,0,,In black holes this force is so strong that not even light can escape,gravity
5122,12/12/2006,1,WORDS IN SCIENCE,400,12,5,10.81,1,0,,"The opposite of antibiotic, it's a term for healthful bacteria in yogurt",probiotic
5142,1/9/2007,1,LETTERS,800,17,5,9.36,1,0,,The seventh & eighth books of the New Testament are his epistles or letters to the Corinthians,Paul
4963,3/22/2006,1,LADY LOOKS LIKE A DUDE,400,13,5,10.51,2,0,,"Wherefore art thou Romeo?  In ""Shakespeare in Love"", Romeo art this actress",Gwyneth Paltrow
5618,1/28/2009,1,"""ECO"" FRIENDLY",800,10,3,9.35,1,0,,It's the specialty that deals with women's health & diseases,gynecology
5749,9/17/2009,0,THE SITUATION COMEDY ROOM,600,21,9,11.73,5,0,,Every room of Charlie's Malibu bachelor pad has been invaded by his brother Alan & Alan's son Jake on this sitcom,Two and a Half Men
6257,11/29/2011,1,ODD WORDS,400,16,2,6.4,3,0,,"To decaudate is to do this, like the farmer's wife did to the 3 blind mice",cut off tails
4082,5/7/2002,1,THE 1940s,1600,8,3,9.95,2,0,,"In 1942, he painted his best-known work, ""Nighthawks""",(Edward) Hopper
5102,11/14/2006,1,"SEE ""NN""",800,15,2,6.49,1,0,,"""Rabbit ears"" is a slang term for an indoor one of these for your TV",antenna
5009,5/25/2006,1,"""AE""",400,12,6,12.79,1,0,,"A Spanish dish made by simmeing chicken, seafood, rice, vegetables & saffron",paella
4331,6/2/2003,0,FOREVER 39,1000,12,4,9.5,2,0,,"Chapter 39 of this religious text is entitled ""Az-Zumar"" or ""The Troops""",The Koran
5905,4/23/2010,1,"GEOGRAPHY ""B""",400,10,5,12.86,1,0,,Nuremberg & Augsburg are cities in this southern German state,Bavaria
5842,1/26/2010,0,COLLEGE FOOTBALL HALL OF FAMERS,200,3,2,14.31,3,0,,Herschel Walker (1982),University of Georgia
5198,3/28/2007,0,ENTERTAINMENT AWARDS,400,19,4,7.9,2,0,,"At the 1998 Golden Globes, it was ""As Good As It Gets"" when he won the Best Actor award",Jack Nicholson
4809,6/30/2005,0,KEEP THE FAITH,1000,14,7,12.78,1,0,,2-letter name shared by the Maori creator of the universe & Jupiter's third-largest moon,Io
5497,7/1/2008,1,BOOKS & AUTHORS,2000,15,4,8.59,2,0,,This James Joyce work is a dream sequence in the minds of the Earwicker family,Finnegans Wake
5832,1/12/2010,1,"DRINK SOME ""T""",1600,13,3,7.93,1,0,,A guy with this last name began distilling London dry gin in 1830,Tanqueray
5393,2/6/2008,1,FAMOUS FATHERS,1200,6,2,9.2,2,0,,"""The Father of the Gunpowder Plot""",Guy Fawkes
4724,3/3/2005,1,OFFICIAL LANGUAGES,2000,3,1,9.05,1,0,,In Guinea-Bissau: this,Portuguese
4550,5/21/2004,1,"""ANT"" INFESTATION",1600,16,6,10.35,1,0,,"From the Latin for ""delight"", this is someone who takes delight in dabbling in the arts",dilettante
4270,3/7/2003,0,WHEW!  IT'S HOT!,200,9,2,7.59,1,0,,"100 degrees on June 27, 1915 in Fort Yukon",Alaska
4395,10/17/2003,0,OLD TESTAMENT BOOKS,800,13,7,12.78,1,0,,"It's sometimes referred to by the title ""Sepher Tehillim"", meaning ""book of praises""",Psalms
4569,6/17/2004,0,PLAINS,600,18,4,8.04,1,0,,This plain of Tanzania is the place in Africa where vast land migrations of animals still take place,Serengeti
6027,11/23/2010,0,THANKSGIVING,1000,14,6,11.1,1,0,,Since 1957 this country has been celebrating Thanksgiving on the second Monday in October,Canada
6045,12/17/2010,1,THE LITERARY BUSINESS,800,15,7,11.75,2,0,,In this novel John Galt leaves the Twentieth Century Motor Company when it goes Socialist,Atlas Shrugged
6051,12/27/2010,0,ALL ABOUT STEVE,200,15,6,10.7,2,0,,"During a 6-month leave of absence from Apple in 2009, he underwent a liver transplant",Steve Jobs
6295,1/20/2012,0,"CLEAN ""X""",200,15,6,10.7,1,0,,This scouring powder is named for a mythical warrior who fought in the Trojan War,Ajax
5405,2/22/2008,1,NAME THAT BOOK,800,7,3,10.75,1,0,,1851: Whalers encounter a beastly bad time,Moby-Dick
5830,1/8/2010,1,ANGELS & DEMONS,1200,20,8,10.94,1,0,,"In the book of Tobit, this archangel who shares his name with a renaissance artist saves Sarah from a demon",Raphael
4844,10/6/2005,1,ON THE BATTLEFIELD,1600,21,5,8.44,1,0,,The Charge of the Light Brigade at this 1854 battle may have been due to the hubris of cavalryman Louis Nolan,Balaclava
5506,7/14/2008,1,MILITARY MATTERS,1200,17,7,10.98,1,0,,In WWII the Germans mounted redesigned 88mm anti-aircraft guns on the Tiger 1 version of this weapon,tanks
4874,11/17/2005,0,MONEY FROM HOME,200,30,9,9.75,1,1,"http://www.j-archive.com/media/2005-11-17_J_15.jpg, http://www.j-archive.com/media/2005-11-17_J_15a.jpg","(Sarah of the Clue Crew reports from St. Petersburg, Russia.) Shopping in a Russian marketplace, you can buy a traditional nesting doll for 3,000 of these",ruble
5611,1/19/2009,1,HISTORIC NAMES,400,20,6,9.57,2,0,,His forces took the capital of the Sung dynasty in 1276 & within 3 years he controlled all of China,Kublai Khan
5510,7/18/2008,1,STAR WARS,1200,16,6,10.35,2,0,,"Born Christopher Wallace, he died less than a year after his West Coast rival Tupac Shakur",Notorious B.I.G.
4523,4/14/2004,0,MAP HAPPY,1000,6,4,14.46,1,0,,Modern country that's Hannibal's historic home,Tunisia
4844,10/6/2005,1,PICTURES AT AN EXHIBITION,400,15,4,9.14,2,1,http://www.j-archive.com/media/2005-10-06_DJ_01.jpg,A sample of the explosive work of this innovative American is seen here,Jackson Pollock
4967,3/28/2006,0,YANKEE STADIUM,400,22,6,8.5,2,0,,"History ain't what it used to be: 2 No. 8's are on Yankee Stadium's retired Nos. wall, Bill Dickey's & this malaprop-master's",Yogi Berra
5182,3/6/2007,0,1840,1000,9,3,9.35,3,0,,"Britain issues this ""dark"" postage, the world's first stamp",the Penny Black
4499,3/11/2004,1,TEA TIME,1200,18,6,10.05,2,0,,The refreshing drink of half iced tea & half lemonade is named for this golfer who popularized it,Arnold Palmer
6027,11/23/2010,1,ANYONE FROM TENNESSEE?,400,20,9,11.24,4,0,,"For his actions during the invasion of the Philippines in 1945, Sgt. Raymond Cooley of Dunlap received this high award",the Medal of Honor
4221,12/30/2002,1,"HI ""YO""",1600,18,4,7.59,2,0,,He was ordained as a minister in 1955; in 1977 he was appointed U.S. ambassador to the U.N.,Andrew Young
5883,3/24/2010,1,SPORTS SHORTS,1600,36,6,7.46,2,1,"http://www.j-archive.com/media/2010-03-24_DJ_04.jpg, http://www.j-archive.com/media/2010-03-24_DJ_04a.jpg","(Jimmy of the Clue Crew climbs some steps.)  His vertical leap adding an astonishing 42 inches to his reach, this 5'7"" NBA player won the NBA's Slam Dunk Contest in 1986",Spud Webb
5928,5/26/2010,1,#NAME?,1600,16,5,9.36,1,0,,The belief that all people deserve the same rights; the word comes from those revolutionary French,egalitarianism
4766,5/2/2005,0,STATE FIRSTS,400,16,5,9.36,2,0,,In 1933 this state ushered in the first drive-in movie theater; it was located in Camden,New Jersey
6073,1/26/2011,0,THE PRODUCER,600,8,3,9.95,1,0,,"""Choosy moms choose"" this brand of peanut butter",Jif
4764,4/28/2005,0,ABOUT SCHMIDT,1000,13,7,13.44,1,0,,Ex-Yale president Benno Schmidt chairs this inventive company that manages & improves schools,Edison
5505,7/11/2008,0,ANAGRAMMED AUSTRALIAN CITIES,400,2,1,11.63,1,0,,LUMBER ONE,Melbourne
5753,9/23/2009,1,SPAGHETTI,1200,21,9,11.73,1,0,,"A popular way to serve spaghetti is with a meat & tomato sauce, called this style after a northern Italian region",Bolognese
5540,10/10/2008,1,TRASH TALKING AT THE MEDIEVAL JOUST,400,20,4,7.9,1,0,,"Ha!  Thou shakest so much thy feet can barely stay in these, brought to Europe in the 8th century",stirrups
5520,9/12/2008,0,THE SECOND FILM IN THE SERIES,400,15,6,10.7,7,0,,Secrets are revealed to the Hogwarts gang in this second film in the popular series,Harry Potter and the Chamber of Secrets
6029,11/25/2010,1,PLANTS & TREES,2000,18,8,11.55,2,0,,"This chalky white ""infantile"" flower used in bouquets is from the genus Gypsophila, which means ""lover of chalk""",baby's breath
5811,12/14/2009,1,PORTRAIT OF A LADY,2000,12,5,12.03,1,1,http://www.j-archive.com/media/2009-12-14_DJ_11.jpg,"His portrait of ""Madame Henriot"" makes quite an Impression... ism",Renoir
