,Show,AirDate,Round,Category,Value,qLength,qHardWords,qDaleChall,aLength,hasMedia,mediaLink,Question,Answer
118233,5876,3/15/2010,Double Jeopardy!,STORY PROBLEMS,1600,18,2,6.34,7,False,,"A widget costs 64 cents & you pay with a dollar; you get 4 coins in change, these","a penny, a quarter & two nickels"
107820,5547,10/21/2008,Jeopardy!,AND THEN THERE'S BEA ARTHUR,800,12,5,10.81,3,False,,Bea won her second Emmy for playing Dorothy Zbornak on this sitcom,The Golden Girls
24589,4864,11/3/2005,Jeopardy!,BASKETBALL,600,17,5,9.12,3,False,,"Averaging 21 points per game, this team's Chauncey Billups was named MVP of the 2004 NBA finals",the Detroit Pistons
112984,5385,1/25/2008,Jeopardy!,THE KILLERS,800,17,7,10.98,2,False,,This Texan died in 1967 while waiting to be retried for the murder of an alleged murderer,(Jack) Ruby
95457,5656,3/23/2009,Jeopardy!,MUSICALS BY PLOT,200,16,4,8.84,1,False,,Rock & roll & dancing are forbidden in small puritanical town; rebellious Ren to the rescue,Footloose
103354,4324,5/22/2003,Double Jeopardy!,CAPITAL CITY BIRTHPLACES,800,3,0,0.15,1,False,,"A.A. Milne, 1882",London
16824,5599,1/1/2009,Jeopardy!,"A LITTLE ""B"" BOP",800,14,4,8.84,1,False,,"A small Montana city is named for one of these small, steep flat-topped hills",Butte
71046,5004,5/18/2006,Double Jeopardy!,CONTINENTAL BREAKFAST,1600,16,9,14.48,1,False,,"Called Frustuck & petit-dejeuner in this country, breakfast might be rosti potatoes & the native muesli",Switzerland
64439,5672,4/14/2009,Double Jeopardy!,THEY WILL COME,400,17,8,11.91,1,False,,"In a 2007 festival, 3 million people of this religion immersed themselves in the waters of Allahabad",Hinduism
10069,5763,10/7/2009,Jeopardy!,CINCINNATI,800,13,7,12.78,1,False,,Dr. Albert Sabin developed this vaccine at the University of Cincinnati medical school,polio
55995,5387,1/29/2008,Jeopardy!,"LET'S BUILD AN ""ARK""",200,10,5,12.03,1,False,,"In an office of the Commerce Department, it's patent's partner",trademarks
56050,4525,4/16/2004,Jeopardy!,KIDDY LIT,200,20,6,9.57,1,False,,"If you're one of these, your job in fairy tales is to eat grannies & blow down poorly constructed houses",wolf
50121,4959,3/16/2006,Jeopardy!,SHAKESPEARE,400,14,7,12.23,2,False,,"""The Winter's Tale"" has the memorable stage direction ""Exit pursued by"" this ursine beast",a bear
24661,4951,3/6/2006,Double Jeopardy!,ANCIENT GREEK DRAMA,400,19,8,11.23,3,False,,"In a play by Euripides, this woman is faithful to Menelaus while her phantom double runs off with Paris",Helen of Troy
40307,5295,9/21/2007,Jeopardy!,"FOR WHAT IT'S ""WORTH""",600,8,1,6.57,2,True,http://www.j-archive.com/media/2007-09-21_J_03.jpg,She's the--sigh--goddess of love seen here,Rita Hayworth
98231,4515,4/2/2004,Double Jeopardy!,ROYAL LANDMARKS,800,16,8,12.8,1,False,,In 2001 at this city's Domkirke Crown Prince Haakon married a single mother & former waitress,Oslo
89903,5185,3/9/2007,Double Jeopardy!,WAR FICTION,400,16,5,9.64,1,False,,"""A Station in the Delta"", ""Gardens of Stone"" & ""In Country"" tell tales of this war",Vietnam
74884,4675,12/24/2004,Jeopardy!,"A NOUN IS A PERSON, PLACE OR THING",200,3,2,14.31,2,False,,Thing: Tin-y silverware,a fork
27979,4782,5/24/2005,Double Jeopardy!,"CROSSWORD CLUES ""T""",2000,6,2,9.2,1,False,,A structural type of geology (9),tectonics
58174,4845,10/7/2005,Double Jeopardy!,HOW DOES YOUR GARDEN GROW?,800,16,3,7.17,2,False,,"Rah, rah, sis boom bah!  It's the term for the globular flowers of a chrysanthemum",a pom-pom
8466,5788,11/11/2009,Jeopardy!,ASTRO-QUIZ,400,21,7,10.4,1,False,,"After the Sun & Moon, this planet, aka the ""Morning Star"" & ""Evening Star"", is the brightest object in the sky",Venus
54197,4332,6/3/2003,Double Jeopardy!,ALBUMS,1200,13,5,10.81,2,False,,"For this 1980 album, John Lennon & Yoko Ono each contributed 7 songs","""Double Fantasy"""
35964,5767,10/13/2009,Double Jeopardy!,DENTIST-SPEAK,1200,18,4,8.04,1,False,,"Like the blast of a volcano, the process of teeth first breaking through the gums is called this",eruption
16529,4761,4/25/2005,Jeopardy!,U.S. GOVERNMENT,600,12,2,6.86,2,False,,"He was the first vice president who was born in Washington, D.C.",Al Gore
116690,6274,12/22/2011,Jeopardy!,FRUITS & VEGETABLES,800,11,4,9.92,2,False,,What we call this is actually the netted melon or muskmelon,a cantaloupe
23679,4584,7/8/2004,Jeopardy!,NEIL DOWN,200,14,5,9.97,2,False,,Neil Patrick Harris will always be remembered for playing this title teen on TV,Doogie Howser
105057,6175,6/17/2011,Jeopardy!,U.S. STAMPS,400,10,4,11.1,2,False,,Stamps honoring Hanukkah have featured a menorah & this toy,a dreidel
14571,4123,7/3/2002,Jeopardy!,THE 4th,1000,15,5,9.97,1,False,,"The 4th most populous country in the world, it follows China, India & the U.S.",Indonesia
80355,4932,2/7/2006,Jeopardy!,MYTHOLOGY,1000,20,7,10.16,1,False,,"Set, the evil brother of this Egyptian god, tricked him into lying down in a chest; it became his coffin",Osiris
100670,6285,1/6/2012,Jeopardy!,SNAKES... WHY'D IT HAVE TO BE SNAKES?,400,18,8,12.33,1,True,http://www.j-archive.com/media/2012-01-06_J_12.jpg,"Sibon annulata, named for preying on these very slow movers, lives in central America, not France",snails
83218,4462,1/20/2004,Jeopardy!,LAKES & RIVERS,800,11,5,11.36,2,False,,It's the largest body of fresh water entirely within the U.S.,Lake Michigan
112007,6146,5/9/2011,Double Jeopardy!,A PLACE I'VE NEVER BEEN,400,9,4,11.1,2,False,,"The Air Massif, rising from this desert in Niger",the Sahara
73994,5564,11/13/2008,Jeopardy!,WHICH TIME ZONE?,1000,3,3,19.58,1,False,,"Quebec City, Canada",Eastern
86225,5372,1/8/2008,Double Jeopardy!,STORY LINE,800,19,9,12.06,1,False,,"Judah h its a bigwig of Judea, meets Jesus, becomes a rower, wins a race, rescues family, meets Jesus",Ben-Hur
7471,4348,6/25/2003,Jeopardy!,A JUNE WEDDING CATEGORY,1000,16,8,12.33,1,False,,"""Jumping"" this object that signifies a wife's duties in the home is an African-American wedding tradition",broom/broomstick
17094,5177,2/27/2007,Jeopardy!,HISTORIC AMERICANS,600,17,7,11.34,2,False,,A slave called Isabella at birth adopted this unusual name in 1843 & became an itinerant preacher,Sojourner Truth
95774,4151,9/23/2002,Double Jeopardy!,ODD WORDS,400,13,5,10.35,1,False,,This synonym for gibberish comes from the name of a Lewis Carroll poem,jabberwocky
34289,6268,12/14/2011,Double Jeopardy!,IT'S A GROUP THING,2000,17,6,10.35,2,False,,"A synonym for group, it's often applied to ""beauties"" & is a collective noun for several swans",a bevy
81012,6280,12/30/2011,Jeopardy!,"""A""NATOMY",200,16,5,9.36,3,False,,It's not an actual fruit but a bulge formed by the thyroid cartilage of the larynx,the Adam's apple
40070,4890,12/9/2005,Double Jeopardy!,"""EN"" THE BEGINNING",1600,19,8,11.55,2,False,,"It's a territory belonging to one country but lying within another, such as Spain's Ceuta & Melilla in Morocco",an enclave
96919,4504,3/18/2004,Double Jeopardy!,NEW BEAUTY CONTEST WINNERS,2000,18,7,10.67,2,False,,"Sadly, this woman who's in the best physical condition is considered an odd duck by the other contestants",Miss Fit/misfit
98681,4722,3/1/2005,Double Jeopardy!,1984,400,17,9,12.84,2,False,,"A 1984 eruption of this 13,677-foot volcanic mountain sent lava flowing within 4 miles of Hilo, Hawaii",Mauna Loa
76481,5345,11/30/2007,Double Jeopardy!,BESTSELLERS OF THE DECADE,400,5,3,15.68,2,False,,"""Jaws"" & ""Jonathan Livingston Seagull""",the 1970s
60337,4776,5/16/2005,Jeopardy!,OLIVE ME,200,7,2,8.5,3,False,,"""When you're"" at this restaurant, ""you're family""",The Olive Garden
34945,5080,10/13/2006,Double Jeopardy!,WHO'S AFRAID OF VIRGINIA?,1200,9,3,10.75,6,True,http://www.j-archive.com/media/2006-10-13_DJ_18.jpg,It's the Virginia landmark being guarded here,the Tomb of the Unknown Soldier
49575,5537,10/7/2008,Jeopardy!,"SOFT ""C""",1000,9,3,9.35,2,False,,The suspension of active hostilities in a war zone,a cease-fire
77435,4188,11/13/2002,Double Jeopardy!,ENGLISH LIT,400,16,4,8.38,5,False,,"This 1859 classic begins, ""It was the best of times, it was the worst of times""","""A Tale of Two Cities"""
61018,5261,6/25/2007,Jeopardy!,MAJOR LEAGUE BASEBALL,200,23,6,8.33,2,False,,"In the 20th c., only Joe DiMaggio hit in more consecutive games than this Cincinnati Red who hit safely in 44 straight games",Pete Rose
43631,6271,12/19/2011,Jeopardy!,"""I"" KNOW IT",400,11,6,12.79,1,False,,"In Orthodox churches, screens before the altar display these for instruction",icons
101148,5888,3/31/2010,Double Jeopardy!,THE MAN WHO WOULDN'T BE KING,400,19,8,11.55,2,False,,"Later dug up & hanged, Oliver Cromwell's body was originally buried in this church upon his death in 1658",Westminster Abbey
118320,6207,9/20/2011,Jeopardy!,ONE VOWEL ONLY,800,5,3,13.36,1,False,,A country in Central Africa,Chad
38626,4309,5/1/2003,Jeopardy!,TV WORKPLACES,400,19,4,7.9,1,False,,It's where you could get a pitcher full of beer from Sam or Woody or an earful from Carla,Cheers
111471,5131,12/25/2006,Jeopardy!,DINOSAURS,400,18,6,9.79,2,False,,Guinness says the smallest one of these among the dinos was the walnut-sized one of the 30-foot stegosaurus,a brain
62875,4475,2/6/2004,Double Jeopardy!,ART HISTORY,2000,12,5,10.81,1,False,,Tintoretto's goal was to match the colors of this earlier Venetian master,Titian
72684,5015,6/2/2006,Jeopardy!,YOU'RE A BEAST!,600,17,8,11.91,2,False,,"The ultimate hitchhikers, remora are also known as these fish because they attach themselves to other fish",sucker fish
14816,6197,7/19/2011,Double Jeopardy!,DEAN,1600,17,5,9.12,2,False,,"Jonathan Swift was dean of this cathedral with a saintly Irish name-- in Dublin, not New York",St. Patrick's
93866,5293,9/19/2007,Jeopardy!,ALSO A PLAYING CARD,200,9,0,0.45,2,False,,You'll need one of these to change a tire,a jack
106778,4302,4/22/2003,Double Jeopardy!,GOOD SPORTS,2000,17,5,9.36,2,False,,Lance Armstrong & this man are the only 2 Americans ever to win cycling's Tour de France,Greg LeMond
107793,5096,11/6/2006,Double Jeopardy!,THE DIRTY DOZEN,2000,15,10,15.61,1,False,,"Nennius famously lists Badon, Agned, Guinnion & Dubglas among this legendary king's 12 messy battles",Arthur
62254,5655,3/20/2009,Double Jeopardy!,KINGS,2000,15,3,7.54,1,False,,"Killed in battle in 1031, this king of Norway was made a saint in 1164",Olaf
74931,4675,12/24/2004,Double Jeopardy!,YOU'RE IN FOR A BATTLE,1600,19,6,9.57,2,False,,The valley of this French river was the scene of a 1916 battle that had over 1 million casualties,the Somme
98017,4784,5/26/2005,Double Jeopardy!,THE ____ ZONE,1600,23,8,10.17,3,False,,"A ship adrift in a passage between the Caribbean & the Pacific, in an area abolished 25 years ago.  Where else but...",the canal zone
75130,4888,12/7/2005,Jeopardy!,MARVIN GARDENS,1000,20,5,8.58,3,False,,"Unless Bugs Bunny can stop him, this character wants to use his PU-36 Explosive Space Modulator to blow up Earth",Marvin the Martian
6897,5759,10/1/2009,Jeopardy!,I READ IT IN A BOOK ONCE,600,21,8,10.45,4,False,,"""His lips parted into a timid smile, and our neighbor's image blurred with my sudden tears.  'Hey, Boo,' I said""",To Kill a Mockingbird
42589,4458,1/14/2004,Double Jeopardy!,HOLEY,800,14,6,11.1,2,False,,"You put your Dixon Ticonderoga into a hole called a ""Chuck"" in this device",pencil sharpener
101732,4198,11/27/2002,Double Jeopardy!,OKLAHOMA!,2000,13,7,12.78,3,False,,"Over 1,000 miles long, this ""colorful"" river forms most of Oklahoma's southern boarder",the Red River
69626,5732,7/7/2009,Double Jeopardy!,PLAYWRIGHTS,800,18,6,9.79,1,False,,One of this Norwegian playwright's early jobs was serving as theatre poet at the National Theatre in Bergen,Ibsen
92046,4989,4/27/2006,Double Jeopardy!,MIND YOUR BUSINESS,1200,14,5,9.97,3,False,,Jeno Paulucci founded this company in 1947 to sell cans of chicken chow mein,the Chun-King Company
14419,5123,12/13/2006,Double Jeopardy!,"100,000 REASONS",1200,19,9,12.06,1,False,,"There are about 100,000 verses in the Mahabharata, a national epic poem of India written in this ancient language",Sanskrit
57732,4360,7/11/2003,Double Jeopardy!,ART & ARTISTS,2000,17,6,10.35,2,False,,"French Fauvist famous for his 1905 ""Woman with a Hat"" & a mural in a Pennsylvania museum",Henri Matisse
107023,4885,12/2/2005,Jeopardy!,NEW HERE?,600,18,8,11.91,1,False,,"It precedes ""15"" to describe the extra weight from a new lifestyle of late-night study & excess pizza",freshman
63749,5186,3/12/2007,Jeopardy!,COUNTRIES ON THE DOLLAR,800,10,5,12.03,1,False,,This Caribbean island nation's dollar has the currency code BBD,Barbados
76220,5947,6/22/2010,Jeopardy!,BEASTLY COLLECTIVES,200,13,1,5.5,2,False,,It can be a group of Girl Scouts or a group of baboons,a troop
80447,4592,7/20/2004,Jeopardy!,TRAVEL & TOURISM,200,14,7,12.23,5,False,,"Popularly called the Met, this museum's collections range from European armor to baseball cards",the Metropolitan Museum of Art
86141,4298,4/16/2003,Jeopardy!,POTLUCK,400,11,2,7.05,2,False,,"It's a big lie, or a big burger from Burger King",a Whopper
21682,4921,1/23/2006,Double Jeopardy!,A LITTLE DICKENS,400,16,5,9.36,1,False,,"In ""Oliver Twist"", Bill Sikes' girl, Nancy, is a member of this man's gang of pickpockets",Fagin
2125,4576,6/28/2004,Double Jeopardy!,MAIN STREET U.S.A.,1600,14,3,7.71,2,False,,"Bob Seger was ""down on Main Street"" in this city, home to a university",Ann Arbor
67060,5541,10/13/2008,Double Jeopardy!,WORDS FROM GEOGRAPHY,1200,20,7,10.16,2,False,,"The course of a river in present-day Turkey gave us this word meaning to wander in an aimless, circuitous way",to meander
79101,5148,1/17/2007,Double Jeopardy!,MUTILATED ART,2000,21,4,7.9,1,True,http://www.j-archive.com/media/2007-11-17_DJ_15.jpg,"Seen here at the Louvre is the work known as ""Nike"" or the ""Winged Victory of"" this Aegean island",Samothrace
81390,5240,5/25/2007,Double Jeopardy!,HISTORIC PERSONALIZED PLATES,1200,3,0,0.05,2,True,http://www.j-archive.com/media/2007-05-25_DJ_10.jpg,1910-1997,Mother Teresa
47010,4469,1/29/2004,Jeopardy!,SPORTS ILLUSTRATED 50th ANNIVERSARY,200,21,5,8.44,2,False,,He still had an amazing career ahead of him when he made the cover as Sportsman of the Year for 1982,Wayne Gretzky
38509,5193,3/21/2007,Jeopardy!,AIRLINES,200,15,3,7.54,1,False,,"In 2006 more than 40% of this airline's customers flew to, from or through Atlanta",Delta
113673,4774,5/12/2005,Double Jeopardy!,WOMEN PHOTOGRAPHERS,800,16,8,13.35,2,True,http://www.j-archive.com/media/2005-05-12_DJ_27.jpg,She was hired by the government to photograph displaced Oklahoma farmers during the Depression,Dorothea Lange
50005,6053,12/29/2010,Jeopardy!,DO TRY THIS AT HOME,200,18,4,8.04,1,False,,"When doing this task, change direction from week to week to keep the pile of the carpet upright",vacuuming
75343,4157,10/1/2002,Jeopardy!,"PUMPING ""IRON""",600,13,6,11.57,2,False,,"One of Germany's highest military decorations, it was instituted in Prussia in 1813",Iron Cross
109572,6051,12/27/2010,Double Jeopardy!,PLAY PENNERS,400,20,8,11.55,2,False,,"In 1956 this ""Crucible"" writer refused to name names before HUAC & was convicted of contempt; he appealed & won",Arthur Miller
59330,5320,10/26/2007,Jeopardy!,THE GIANTS,600,18,5,9.12,2,False,,Ymir was the first giant & the father of a race of giants in this ancient people's mythology,the Norse
90492,5182,3/6/2007,Jeopardy!,WHICH U.S. CABINET DEPARTMENT?,200,4,3,15.68,1,False,,The Federal Railroad Administration,Transportation
35666,5771,10/19/2009,Jeopardy!,TEA,1000,10,5,12.03,1,False,,Teas bearing this former name of Taiwan are primarily oolong,Formosa
62794,5739,7/16/2009,Double Jeopardy!,PRESIDENT & ACCOUNTED FOR,400,17,7,10.98,2,False,,"In 2008 people wondered whether this former president might add the title ""First Man"" to his resume",Bill Clinton
101942,5264,6/28/2007,Double Jeopardy!,SITCOM CITIES,800,2,1,11.63,1,False,,"""Good Times""",Chicago
11133,4925,1/27/2006,Jeopardy!,NIKE,600,46,12,9.27,2,True,"http://www.j-archive.com/media/2006-01-27_J_22.jpg, http://www.j-archive.com/media/2006-01-27_J_22a.jpg","(Sarah of the Clue Crew delivers the clue from the Nike campus, Oregon.)  This is one of the actual shoes Bill Bowerman hand-made for the man known as ""Pre"", the first major athlete to endorse Nikes, who died tragically in 1975",Steve Prefontaine
71233,5026,6/19/2006,Jeopardy!,PAINT IT BLACK,400,12,5,10.81,2,False,,"American feathery friend of the Icteridae family, such as the red-winged type",a blackbird
108470,4196,11/25/2002,Jeopardy!,"HURRY ""UP""!",200,9,4,11.1,1,False,,The latest info on a story in a newscast,update
99704,5023,6/14/2006,Double Jeopardy!,ROYAL LITERATURE,1200,4,0,0.2,4,False,,1988: By Anne Rice,Queen of the Damned
39206,4837,9/27/2005,Jeopardy!,"THE ""FILE"" FILE",800,11,6,12.79,3,False,,"When exhibiting a deliberately inconspicuous or anonymous manner, you're ""keeping"" this",a low profile
72851,4591,7/19/2004,Jeopardy!,LOOK OUT!,600,16,7,11.75,4,False,,The 16-ton weight featured in this '70s comedy series is poised above somebody & ready to...,Monty Python's Flying Circus
44385,5723,6/24/2009,Jeopardy!,SPORTS NET,1000,17,3,7.27,1,False,,The nets used in this sport are 18 inches in diameter with a sleeve 15-18 inches long,basketball
4069,5094,11/2/2006,Jeopardy!,FROM THE GREEK,600,14,2,6.59,2,False,,"When food is swallowed, it goes down this tube, the Greek word for ""gullet""",the esophagus
11331,5906,4/26/2010,Double Jeopardy!,HUSKY,800,16,3,7.39,1,False,,"A dry, dark beer from Guinness, or what you might become if you drink too many",stout
12984,5817,12/22/2009,Jeopardy!,CURSES,400,22,6,9.19,2,False,,The Madden video game cover curse claimed this QB; first he got hurt & we won't even get into the dog thing,Michael Vick
61166,6284,1/5/2012,Double Jeopardy!,HIGHLY OEDIPAL,400,20,5,8.58,1,False,,"King Robert II of this country was a good son to Hugh Capet, but his own sons turned against him",France
87514,4659,12/2/2004,Jeopardy!,SHAPE UP,800,13,4,9.92,3,True,http://www.j-archive.com/media/2004-12-02_J_24.jpg,"Shapely two-word location of the people seen here, May 5th, 1973",the winner's circle
20637,6248,11/16/2011,Jeopardy!,FRIEZES,400,21,6,9.19,4,False,,"Asked why his frieze showed 14 of these followers of Jesus, sculptor Jorge Oteiza said, ""There was no room for more""",the disciples (or apostles)
3808,5363,12/26/2007,Double Jeopardy!,WOMEN OF ACHIEVEMENT,1200,19,5,8.92,1,False,,In 1616 she & her husband John Rolfe traveled to England to help raise funds for the Virginia colonists,Pocahontas
66746,6169,6/9/2011,Jeopardy!,STREET JOURNAL,400,16,4,8.38,2,False,,"This street in New Orleans' French Quarter is named for a royal house, not for whiskey",Bourbon Street
15767,5885,3/26/2010,Double Jeopardy!,REMINDS ME OF MY FIRST MARRIAGE,1200,14,7,12.78,2,False,,"Perhaps David Justice's first marriage, to this Oscar winner & Bond girl, was ""Jinx""ed",Halle Barry
97267,4562,6/8/2004,Jeopardy!,COLORS OF THE RAINBOW,400,6,2,9.2,1,False,,The ink businesses try to avoid,red
96376,4824,7/21/2005,Jeopardy!,TRICKY QUESTIONS,600,14,4,8.5,2,False,,"Some say David Atchison was President of the U.S.; his ""term"" lasted this long",1 day
60285,6165,6/3/2011,Jeopardy!,EXTRAORDINARY DENTITION,200,15,4,8.59,2,False,,The longest teeth in the animal world are these on one of the largest animals,the tusks
62503,5519,9/11/2008,Jeopardy!,REDS,1000,17,7,10.94,1,False,,"What a Christmas present!  This country's last commie leader, Nicolae Ceausescu, was executed Dec. 25, 1989",Romania
87998,6139,4/28/2011,Double Jeopardy!,WAR!,2000,17,8,11.91,5,False,,"On June 24, 1970 the Senate voted to repeal this 6-year-old resolution, helping end the Cambodian Campaign",the Gulf of Tonkin Resolution
10734,5986,9/27/2010,Jeopardy!,WORDS FROM THE PERSIAN,200,14,6,11.1,1,False,,This general term for confections loved by children is from the word meaning sugar,candy
23878,5583,12/10/2008,Double Jeopardy!,AIRLINE CODES,400,6,1,6.57,1,False,,With a hub in Detroit: NW,Northwest
36761,5840,1/22/2010,Double Jeopardy!,OVERLAPPING WORDS,1200,12,5,12.03,1,True,http://www.j-archive.com/media/2010-01-22_DJ_28.jpg,A famous European American born with the Apache name Goyathlay,Kissingeronimo
85810,5439,4/10/2008,Jeopardy!,STARTS & ENDS WITH THE SAME LETTER,600,11,5,11.36,2,False,,A generally nonmalignant growth on the surface of a mucous membrane,a polyp
24609,4864,11/3/2005,Double Jeopardy!,MILITARY MATTERS,400,12,4,9.65,1,False,,In 87 B.C. Gaius Marius & his pal Cinna captured this city,Rome
67657,5706,6/1/2009,Jeopardy!,HIDDEN AGENDA,800,8,4,11.93,1,False,,Magen David Adom is this country's Red Cross,Israel
38784,5393,2/6/2008,Double Jeopardy!,FAMOUS FATHERS,2000,5,2,10.2,2,False,,"""The Father of Condensed Milk""",(Gail) Borden
20299,4218,12/25/2002,Jeopardy!,STATE FLAGS,600,11,4,10.45,1,False,,The flags of Mississippi & Georgia each display this many stars,13
56009,5387,1/29/2008,Jeopardy!,COUNTRY OF BIRTH,800,3,3,19.58,1,False,,Actress Greta Garbo,Sweden
82289,6007,10/26/2010,Double Jeopardy!,PLAYMATES,1200,16,6,10.35,2,False,,"Miss June Allyson played the wife of this bandleader in his movie story, opposite Jimmy Stewart",Glenn Miller
53100,4343,6/18/2003,Jeopardy!,IRISH STARS,600,16,8,12.33,2,False,,"This Irish star of ""Michael Collins"" stretched his acting abilities to play Scottish legend Rob Roy",Liam Neeson
33464,6103,3/9/2011,Jeopardy!,ALPHABET HOMOPHONES,800,12,7,13.44,2,False,,This insect is mentioned in Muhammad Ali's line about his boxing style,a bee
40570,4285,3/28/2003,Double Jeopardy!,TRANSPORTATION,2000,16,5,9.64,1,False,,"(Sarah of the Clue Crew)  It's the ""monetary"" name for this turn-of -the-century wheel transport",penny-farthing
79851,4634,10/28/2004,Jeopardy!,FIRST CLASS,800,18,6,9.79,1,False,,"In 1748 the first class of this Ivy League school moved to Newark under President Aaron Burr, Sr.",Princeton
104344,5558,11/5/2008,Jeopardy!,HERE'S THE ADDRESS,1000,21,4,7.69,2,False,,"725 5th Avenue at 56th Street in New York City: It's y-uge, it's alliterative, you're fired if you don't know it",Trump Tower
74692,6173,6/15/2011,Double Jeopardy!,PARTS OF A WHOLE,800,7,4,13.01,2,False,,"Ribbon, paper bail, carriage return, space bar",a typewriter
41862,4643,11/10/2004,Double Jeopardy!,DA OLOGY SHOW,1600,11,2,7.59,1,True,http://www.j-archive.com/media/2004-11-10_DJ_22.jpg,Subjects of this branch of zoology are seen here,herpetology
29417,4879,11/24/2005,Double Jeopardy!,OPERA,400,18,9,12.42,3,False,,"Act I of this ""airborne"" Wagner work includes a tenor aria about a sailor returning to his sweetheart",The Flying Dutchman
65058,5731,7/6/2009,Jeopardy!,4 I's ONLY,1000,13,6,11.57,1,False,,"Reducing or making smaller, like one might do to an Internet browser window",minimizing
19356,5667,4/7/2009,Jeopardy!,2027: THE YEAR IN ENTERTAINMENT,600,19,9,11.59,2,False,,"What a career makeover! this ""Simple Life"" hotel heiress wins a best actress Oscar for ""The English Patient 2""",Paris Hilton
75373,4157,10/1/2002,Double Jeopardy!,ALL ABOUT THE BENJAMINS,1600,16,8,12.33,2,False,,"Benjamin Cardozo, the second Jewish Supreme Court justice, was a cousin of this ""New Colossus"" poet",Emma Lazarus
10537,4612,9/28/2004,Double Jeopardy!,THE VEEP,400,6,3,11.83,2,False,,His father was born Theodore Anagnostopoulos,Spiro Agnew
76624,4679,12/30/2004,Jeopardy!,THE SOUTHERNMOST NATION,400,3,2,14.31,1,False,,"Zaire, Zimbabwe, Zambia",Zimbabwe
36479,5719,6/18/2009,Double Jeopardy!,THE WRATH OF CAAN,1600,21,5,8.58,3,False,,"In ""The Way of the Gun"", Jimmy pops a righteous cap into kidnappers played by Ryan Phillippe & this ""Che"" star",Benicio del Toro
85131,5196,3/26/2007,Jeopardy!,KISS ME!,200,10,2,7.29,3,False,,The 2 participants in the memorable kiss in Mark 14:44,Jesus & Judas
62994,5404,2/21/2008,Jeopardy!,THEM LITERATURE TYPE FACTS,200,11,4,9.65,1,False,,"In 1928 A.A. Milne published ""House at"" this title character's ""Corner""",Pooh
80826,5095,11/3/2006,Double Jeopardy!,MOSESES,1200,8,6,15.88,2,False,,"Profession of Thomas, husband of artist Grandma Moses",a farmer
38362,5237,5/22/2007,Jeopardy!,ALL ABOUT ANIMALS,1000,18,10,13.3,1,False,,"Humans and this ""armored"" mammal are among the only known animals that carry the bacterium that causes leprosy",armadillos
71935,6232,10/25/2011,Double Jeopardy!,PRIME MINISTERS OF GREAT BRITAIN,400,19,4,7.9,2,False,,"The day he left office after 10 years in 2007, he had a new job as a Mideast envoy",(Tony) Blair
17712,5249,6/7/2007,Jeopardy!,DUDE-ERONOMY,200,18,5,8.92,1,False,,Totally cool! This dude wrote Deuteronomy as a way of reinforcing what he first learned on Mount Sinai,Moses
76805,5586,12/15/2008,Jeopardy!,LITTLE PITCHY DOG,800,23,4,7.6,2,False,,"These dogs that come in ""teacup"" varieties hail from the north of England & like to bark but can be trained not to",Yorkshire terriers
54871,5682,4/28/2009,Double Jeopardy!,THEIR SIMILAR MOVIE TITLES,1200,5,3,13.36,2,False,,"""Seven Years in Tibet"", ""Seven""",Brad Pitt
